X,Vx,U0,roll,roll_sp,Y,Vy,U1,pitch,pitch_sp,yaw,yaw_sp,TorqueYaw,Ez,Z,Vz,Tm,pwmedf,s0,s1,s2  
-0.09842, -0.32539,   0.15213, -0.95353, -0.93984,        0.01084, -0.04916,   0.15479, 1.61768, -1.56672,        39.61377, 60.00000, 0.10044,            0.44976, 0.44786, 0.03971,   21.74794, 1494,      3,3,3    
-0.10136, -0.21110,   0.23064, -0.97854, -0.92821,        0.01078, 0.08495,   0.29950, 1.55407, -0.99310,         39.34052, 60.00000, 0.10640,            0.46976, 0.45011, 0.08084,   21.46024, 1490,      3,3,3    
-0.10264, -0.03913,   0.45550, -1.01077, -0.61280,        0.01162, 0.05874,   0.35891, 1.45398, -0.59955,         38.90422, 60.00000, 0.10955,            0.46977, 0.45153, 0.06458,   21.55552, 1492,      3,3,3    
-0.10369, -0.13798,   0.54698, -1.02243, -0.68961,        0.01204, -0.01362,   0.16210, 1.43061, -1.03162,        38.74087, 60.00000, 0.11217,            0.43979, 0.45211, -0.03376,   22.20802, 1501,      3,3,3    
-0.10483, -0.23198,   0.54507, -1.07562, -0.85058,        0.01204, -0.01414,   0.11360, 1.34659, -1.30005,        38.28208, 60.00000, 0.11187,            0.41981, 0.44813, -0.08646,   22.60040, 1507,      3,3,3    
-0.10824, -0.40180,   0.39647, -1.08543, -1.08049,        0.01144, -0.06097,   0.00829, 1.31675, -1.89347,        38.12121, 60.00000, 0.11163,            0.41981, 0.44328, -0.12944,   22.93566, 1511,      3,3,3    
-0.11119, -0.31735,   0.28607, -1.12421, -0.98566,        0.01106, -0.03341,   0.04632, 1.25361, -1.63354,        37.64890, 60.00000, 0.11376,            0.44980, 0.44322, -0.11202,   22.81845, 1510,      3,3,3    
-0.11515, -0.38483,   0.25624, -1.13429, -1.12566,        0.01046, -0.02213,   -0.29143, 1.24620, -1.83256,       37.47865, 60.00000, 0.11549,            0.41982, 0.44001, -0.17112,   23.24596, 1516,      3,3,3    
-0.11786, -0.27763,   0.39430, -1.16581, -1.13937,        0.01054, 0.10104,   -0.05998, 1.21971, -1.30593,        37.16936, 60.00000, 0.11834,            0.41982, 0.43781, -0.15149,   23.13601, 1514,      3,3,3    
-0.11988, -0.21611,   0.70449, -1.18621, -1.00945,        0.01137, 0.07459,   -0.06904, 1.18332, -1.20962,        36.81611, 60.00000, 0.12358,            0.44981, 0.43739, -0.14071,   23.06941, 1513,      3,3,3    
